f	gamma
826.0	0.006992616347442714
827.0	0.006688762273238821
828.0	0.006380248266540336
829.0	0.00606733527693034
830.0	0.005750287187310639
831.0	0.005429370595542027
832.0	0.005104854594368501
833.0	0.0047770105498039965
834.0	0.0044461118781610335
835.0	0.0041124338219025725
836.0	0.003776253224498867
837.0	0.0034378483044703676
838.0	0.003097498428799062
839.0	0.002755483885890548
840.0	0.0024120856582697733
841.0	0.002067585195191868
842.0	0.0017222641853499433
843.0	0.001376404329862819
844.0	0.0010302871157218596
845.0	0.0006841935898781238
846.0	0.00033840413414983864
847.0	-6.8017588723246446e-06
848.0	-0.0003511457087442939
849.0	-0.0006943506687361064
850.0	-0.0010361411458723786
851.0	-0.001376243419273525
852.0	-0.0017143857566259625
853.0	-0.002050298628611047
854.0	-0.002383714921125591
855.0	-0.0027143701451279845
856.0	-0.0030420026439462776
857.0	-0.003366353797887558
858.0	-0.003687168225989343
859.0	-0.004004193984756701
860.0	-0.004317182763732457
861.0	-0.00462589007774905
862.0	-0.004930075455714651
863.0	-0.005229502625788298
864.0	-0.00552393969680365
865.0	-0.0058131593358018326
866.0	-0.006096938941538977
867.0	-0.00637506081383728
868.0	-0.006647312318651181
869.0	-0.0069134860487243
870.0	-0.007173379979717436
871.0	-0.007426797621690241
872.0	-0.007673548165824144
873.0	-0.007913446626277496
874.0	-0.008146313977068996
875.0	-0.008371977283888499
876.0	-0.008590269830738744
877.0	-0.008801031241316749
878.0	-0.00900410759504701
879.0	-0.009199351537683656
880.0	-0.009386622386402515
881.0	-0.009565786229309786
882.0	-0.0097367160192975
883.0	-0.009899291662181174
884.0	-0.010053400099059527
885.0	-0.010198935382841183
886.0	-0.010335798748887669
887.0	-0.010463898679727107
888.0	-0.010583150963797701
889.0	-0.01069347874818524
890.0	-0.010794812585323058
891.0	-0.01088709047362875
892.0	-0.010970257892056138
893.0	-0.01104426782854602
894.0	-0.011109080802364564
